year,n cattle,n beef,n dairy
2000,1793538,841993,535572
2001,1780348,835434,529269
2002,1737752,821387,500921
2003,1733316,823943,494051
2004,1737655,828095,494362
2005,1742052,832118,494899
2006,1738818,836178,487759
2007,1743419,839590,489103
2008,1751763,845482,491685
2009,1747774,848327,485041
2010,1725735,833311,478211
2011,1725296,833983,477293
2012,1730945,839399,477643
